#{"t_start": 1765378660.2359, "env_id": "intersection-v0"}
r,l,t
9.665785,26,181.426299
-0.864076,16,182.029966
2.137428,19,182.825314
6.926985,26,183.39622
3.053538,26,184.159438
8.708296,26,185.086742
3.700557,14,185.389288
15.633349,21,186.055054
-0.135346,12,186.345299
5.781931,26,187.253509
6.651879,26,188.2696
0.328525,13,188.549353
5.10095,26,189.402889
10.135584,20,189.870652
0.429056,12,190.264083
1.13707,26,191.057187
0.656579,12,191.311904
1.85965,14,191.716665
4.240021,14,192.159417
16.014584,18,192.488884
-0.447626,15,192.827286
9.62696,25,193.704594
0.355742,15,193.997441
13.206424,20,194.512536
17.391525,22,195.454245
8.497212,26,196.10989
13.12875,22,196.970658
2.40078,15,197.388729
1.657791,12,197.774843
12.602262,21,198.274858
10.38687,22,199.123551
-1.311792,13,199.53345
16.402672,21,200.251357
9.429435,23,201.034773
17.0,17,201.407511
7.190578,26,202.249596
-1.375305,15,202.735217
1.289168,26,203.889487
0.986873,13,204.277437
0.923034,13,204.59645
2.159457,8,204.709718
2.486328,12,205.001515
13.849265,23,205.843655
12.011286,24,206.645164
4.0,10,206.87655
12.201342,22,207.37658
-2.138255,20,207.933177
10.572571,25,208.766948
-0.603136,13,209.077763
-2.600953,21,209.772791
3.185129,14,210.127334
-2.601466,24,211.101826
-0.721711,13,211.401035
8.363345,21,212.007917
-2.221202,25,213.057579
5.40795,26,214.141473
1.855531,11,214.475034
1.094993,11,214.80893
14.788459,20,228.638869
0.810433,12,229.161005
1.854151,11,229.541031
9.511404,26,230.317814
10.60646,26,231.108959
0.144309,11,231.485072
8.0,14,231.806768
2.204104,10,232.031048
13.14023,26,232.96891
16.424148,21,233.495013
0.652197,24,234.165841
18.0,19,234.93197
5.0,11,235.313545
0.966014,20,235.879117
17.587232,21,236.47456
12.592218,22,236.842283
4.026751,11,237.09175
0.06674,12,237.480878
10.050148,26,238.364616
0.660143,16,238.874053
-0.065129,13,239.164363
6.158696,12,239.519681
-1.002316,12,239.894869
4.700537,15,240.216662
4.0,10,240.557539
4.047672,12,240.914569
0.698633,14,241.24773
9.000475,25,242.175293
14.408239,23,243.000462
13.62729,20,243.575058
2.193976,12,244.014907
8.828222,24,244.89696
18.446021,20,245.503906
-1.546763,12,245.829217
13.158115,19,246.319283
3.50899,11,246.582041
-5.0,1,246.680322
8.359438,26,247.59204
12.808172,22,248.338038
6.0,12,248.664902
3.165857,12,248.932545
4.880076,26,249.752512
0.263103,17,250.225549
0.0,23,251.123618
9.00989,26,251.890324
17.684805,23,252.723515
17.123332,26,253.418713
4.0,14,253.840694
1.984891,18,254.581551
16.67188,22,255.211387
8.355039,22,255.874011
7.0,13,256.237863
5.912509,26,257.126679
19.946435,24,257.650582
8.966177,26,258.594399
0.236552,17,259.117167
1.04998,16,259.593328
13.714972,21,260.025253
18.029451,20,260.569182
17.270871,21,261.124514
14.370612,20,261.641141
2.316114,14,262.106764
13.241885,21,262.965524
1.546531,13,263.382152
10.085094,26,263.974157
3.035671,11,264.313762
2.053145,11,264.662434
0.174924,16,265.17467
2.159457,8,265.397365
0.834502,14,265.804423
10.659482,22,266.431451
1.081015,12,266.663142
5.651051,26,267.528988
12.96141,26,268.363636
-5.0,1,268.410678
-0.484024,14,268.760562
-0.535817,10,269.107947
7.0,12,269.439791
12.597365,26,270.337904
5.939793,26,271.360127
1.933811,15,271.691432
12.804703,19,272.302297
6.700027,12,272.543293
2.099159,10,272.860355
8.236784,26,273.540983
2.63452,12,273.831921
-1.383881,6,274.004528
2.755526,12,274.25886
12.973183,20,274.856274
-0.539387,14,275.241624
0.827655,13,275.582744
16.63335,20,276.028726
8.909188,26,277.020586
8.623106,26,277.895188
16.293338,22,278.383857
14.07449,20,279.040049
1.843256,12,279.304809
1.574474,12,279.654896
14.143138,18,280.155015
12.719104,24,281.082944
4.978014,14,281.527891
-1.142421,12,281.980226
2.254215,12,282.33369
5.0,12,282.626876
-1.158353,11,282.936905
2.034617,12,283.36239
-0.667116,13,283.710394
6.158696,12,284.018163
5.420063,11,284.265208
15.162832,20,284.94102
18.105108,22,285.634367
3.467501,11,286.073742
12.66075,24,286.75676
3.0,13,287.136172
18.0,18,287.581602
3.0,10,288.005591
2.080909,13,288.177132
-0.434708,11,288.440853
2.418505,14,288.69758
14.690172,23,289.422599
17.014252,19,302.652621
13.870989,19,303.106285
3.0,9,303.308066
16.014584,18,303.961008
1.863899,12,304.327613
-1.115344,13,304.711473
9.159997,26,305.333444
5.0,11,305.626711
9.648522,23,306.166977
5.70006,11,306.451777
-0.293686,10,306.749549
3.489662,13,307.056674
-0.861205,13,307.414913
2.0,7,307.603338
4.446078,12,308.037882
5.0,11,308.302275
16.473926,20,308.695626
7.624991,26,309.797808
2.894136,13,310.250021
21.0,21,310.94329
5.203204,13,311.251225
15.523722,21,311.901697
7.0,13,312.313684
