#{"t_start": 1765297366.2538664, "env_id": "intersection-v0"}
r,l,t
2.188453,13,238.072219
2.0,13,239.812944
5.472874,13,241.060447
-3.0,9,242.335637
-1.373258,7,242.934156
2.0,13,243.673597
6.178805,11,244.549001
-2.460707,8,245.379344
1.0,6,245.785587
3.23404,13,246.299746
9.616017,11,247.161084
10.0,10,247.902643
7.681208,10,248.571374
-0.381164,7,249.195503
-1.373258,6,249.886833
4.260148,13,251.021281
-5.0,13,252.511751
-2.370348,11,253.487828
4.523514,13,254.303335
-1.372771,6,254.723611
7.206977,13,256.369352
5.0,13,257.458301
-3.372844,7,257.951804
-1.379585,6,258.472204
-4.447885,10,259.617996
1.0,13,260.735127
-2.318366,6,261.348802
-2.373197,7,261.906165
-0.841249,5,262.220937
7.616072,9,262.751996
0.0,6,263.159223
0.0,6,263.620553
1.0,13,264.634695
-3.0,7,265.213476
7.156315,12,266.26933
-2.0,6,266.660976
6.1024,13,267.323918
-1.366575,6,267.604346
9.0,9,268.421151
-2.0,8,269.19513
-2.318366,6,269.759006
-3.0,10,270.636971
2.53665,13,271.88379
-2.474501,10,272.831367
-2.034645,7,273.484531
-2.447873,7,273.985754
-3.372844,7,274.583516
7.633114,9,275.368572
0.0,6,275.962452
2.0,13,276.841522
9.0,10,277.640288
-3.372844,11,278.836881
0.0,6,279.305076
-4.0,11,280.207273
-2.318366,5,280.606565
4.79595,13,281.475583
-2.447956,12,282.845122
4.025743,13,284.001089
6.193693,11,285.115167
-2.0,4,285.459855
0.0,5,285.809445
-2.644326,6,286.099449
-2.0,7,286.716053
7.471021,12,287.215883
-0.31878,7,287.963308
-4.370775,6,288.591665
-1.0,6,289.035635
5.457099,13,290.044966
-2.526744,10,290.965478
0.0,5,291.472493
7.0,13,293.145535
0.0,7,293.548811
8.62673,10,293.964648
5.633121,13,295.066267
-3.463273,10,296.094375
0.617847,13,297.238039
-2.51166,7,297.569242
6.115432,11,298.572784
-2.665501,4,298.83963
-1.0,6,299.228947
-3.0,10,299.983983
-2.0,4,300.284531
-1.366575,6,300.803851
2.681634,13,302.187874
-1.0,6,302.535506
4.461625,13,303.558616
0.629225,13,304.592013
4.52779,13,306.309088
7.54087,11,307.17045
-3.316297,4,307.442738
0.0,5,307.900909
0.0,13,308.838228
1.31297,13,310.235581
4.606138,13,311.364351
-3.0,4,311.758709
10.0,10,312.697755
8.618513,10,313.842105
6.106476,13,315.160779
-2.365057,12,316.484123
-1.646455,7,316.98088
3.100552,13,318.093481
-2.0,9,319.09486
4.0,6,319.669197
5.475491,13,320.790991
0.0,13,322.099716
-2.0,6,322.534904
0.549852,13,324.02239
-1.379585,6,324.500508
-2.370348,6,324.987758
7.287531,11,325.886514
7.457546,13,326.966712
-2.0,8,327.571167
2.604547,13,328.833776
0.615176,13,330.380093
-1.437055,8,331.087199
-2.447956,8,331.678533
2.169063,13,332.872213
2.788367,13,334.50038
9.0,9,335.368862
9.0,9,336.363483
-2.0,6,336.750857
1.177029,11,337.824851
4.60652,13,338.859929
6.15029,13,339.893249
-2.447956,9,340.589097
0.0,13,341.736567
-1.318719,6,342.226635
-1.447944,8,343.005911
-1.0,5,343.473633
4.510878,13,344.637489
-1.318719,7,345.237489
-2.370348,5,345.681971
-1.44823,10,346.519152
0.158681,6,347.132182
-2.0,4,347.414335
4.460098,13,348.612715
3.024893,13,349.48
5.930455,11,350.326817
-2.318366,5,350.675051
7.525491,12,352.013047
7.0,10,352.727915
1.0,13,354.344821
5.798561,12,355.456586
5.626744,13,357.363124
1.552054,13,358.867939
-3.450509,9,359.707619
10.0,10,360.54229
3.0,13,361.525973
3.222263,13,362.475875
-3.356173,7,363.1557
-2.000061,6,363.569707
7.616072,9,364.301458
-1.84084,4,364.61571
7.61852,9,365.431326
-1.0,6,365.816724
1.217857,13,366.683809
-3.356173,8,371.673832
6.193693,11,372.372043
7.633113,13,373.177076
-1.84084,4,373.585965
6.102328,12,375.100736
0.563369,13,375.980245
-2.644326,6,376.593427
4.0,13,377.750517
4.194179,13,378.777995
-2.370348,6,379.106663
1.474723,13,380.237443
5.0,13,381.971197
-2.0,6,382.286891
-1.0,6,382.851982
2.245221,13,383.885743
-3.449736,7,384.271121
-3.752522,11,385.339207
-1.0,5,385.859803
5.473398,12,387.280514
0.0,6,387.599478
9.0,9,388.267516
1.0,13,389.642112
-0.366834,6,390.04218
-1.540273,12,391.251934
0.0,6,391.648737
3.140539,13,392.88989
-1.0,5,393.384434
6.285818,12,394.912725
7.616072,9,395.547024
6.143238,13,397.020781
-2.365057,8,397.743408
-3.434136,6,398.507447
0.0,13,400.53755
7.534798,13,402.650073
-1.447446,6,403.427745
7.617435,12,405.270667
-1.675491,5,405.753823
5.099256,13,407.952674
-1.0,5,408.797873
7.156446,12,410.758642
-3.631866,5,411.403735
8.250188,11,413.27135
6.172077,10,415.275789
-3.631866,7,416.331222
0.551726,13,418.985119
-1.372771,5,419.832382
0.0,13,421.522527
1.0,13,423.911932
-2.436558,6,424.661536
8.633113,10,425.776376
-1.379585,5,426.659526
7.957828,12,428.881521
-1.379585,6,429.918947
-2.513981,10,431.600033
-3.0,11,433.553792
2.0,8,434.571162
0.0,13,436.332653
7.61852,9,437.521036
8.0,9,439.004381
-1.372771,6,439.923006
5.166195,13,441.471441
-1.0,5,442.380129
-3.0,9,444.069375
9.0,9,445.690277
7.220299,12,447.492084
-1.318719,6,448.175864
6.536716,12,450.328927
-4.382153,6,451.429475
7.633114,9,452.494768
7.472951,13,454.328731
5.787651,13,456.061962
-1.372771,7,456.904584
7.457546,13,458.186198
8.681208,10,459.220967
-1.436972,7,460.479651
8.0,9,461.99211
-1.537576,9,462.966402
-5.0,1,463.127922
0.0,13,465.696819
-2.436558,6,466.31341
1.563015,13,468.670007
-2.0,6,469.246447
-2.523997,7,470.524843
5.0,13,472.612022
5.523063,13,474.553649
6.617508,12,476.70495
0.0,7,477.431156
8.0,8,478.703721
10.0,10,479.808736
4.0,13,481.121333
8.472889,13,482.329142
0.0,6,482.768987
4.036124,13,484.777334
5.217486,13,486.405007
6.626744,8,487.185345
0.0,13,489.352712
1.174279,13,491.875906
-1.0,5,492.607188
-3.434136,7,493.862023
8.0,8,494.958178
4.539281,11,496.448941
7.615917,9,497.583284
-1.0,5,498.11103
3.100753,13,500.022928
-2.0,6,500.992733
7.243579,11,502.593084
8.0,8,503.418781
8.615645,11,504.440747
0.700013,6,505.518426
3.0,13,506.698341
0.0,13,508.677479
-3.382507,6,509.245898
-2.0,7,510.086688
-2.318366,8,511.07055
-2.0,4,511.785732
-2.373197,7,512.742723
9.0,9,514.615615
-1.379585,6,515.567949
-1.224867,6,516.194832
1.627156,13,517.840021
6.234068,10,519.162758
-2.384442,9,519.768647
0.158681,6,520.662145
-3.754385,13,523.517488
7.615917,10,524.457051
9.0,9,525.742003
6.626744,11,526.970168
2.46169,13,529.037067
-3.447459,8,530.006625
0.0,7,531.116697
-3.384158,7,532.095642
-0.57992,5,532.905787
6.087579,13,535.25474
2.472861,13,536.886786
-2.447873,7,538.149807
-2.930998,4,538.93995
8.633113,10,540.291892
8.0,8,541.096274
-4.304191,8,541.919125
-2.318366,5,543.02499
-1.0,4,543.45805
2.115716,13,544.99725
-1.0,6,545.513717
3.0,13,548.661715
-2.023509,6,549.127503
0.549795,13,551.805726
-1.0,7,552.612141
6.616343,10,554.042348
-2.370348,7,555.357677
-3.0,10,556.707824
-3.0,11,558.523315
-2.370348,5,558.957918
3.0,13,560.824316
8.62673,11,562.373461
1.0,13,564.363455
-3.0,11,566.841503
-2.527126,11,568.615041
-1.0,6,570.014353
1.0,13,571.879013
11.0,11,573.543716
-1.0,5,574.0762
4.472872,13,576.001081
-1.96286,6,576.694442
4.562957,13,580.146292
10.0,10,580.849453
7.231387,12,582.569322
1.0,7,583.814006
0.0,6,584.959096
-3.438966,9,586.383231
-4.303854,9,587.959497
-1.372771,6,588.655341
7.306361,13,590.910104
5.547616,13,592.410488
-3.434136,5,593.177061
-2.824831,8,594.363678
5.549861,12,595.299724
-3.450147,9,596.625573
-4.0,11,598.701774
7.095116,13,601.062386
2.633113,10,602.505699
5.153765,13,604.378767
-3.356173,7,605.898278
-2.370348,5,606.744312
-1.0,6,607.303359
6.473256,12,609.382732
6.151899,12,611.133268
3.460262,13,613.794026
-1.0,5,614.531818
-3.356173,6,615.37223
7.0,13,617.04893
-3.0,9,618.313398
-1.0,5,618.798904
-1.57953,4,619.644287
-3.0,6,620.470984
5.633121,13,622.812979
-3.753671,8,624.199557
6.536747,11,626.132458
-1.372771,6,626.981957
2.0,13,628.272605
7.0,13,630.01314
0.629225,13,633.245544
-1.299552,4,633.690657
-1.0,6,634.544728
5.584267,13,636.083238
-2.318366,8,637.322135
4.140616,13,638.559279
8.616025,10,639.812509
1.0,13,641.459101
5.110241,12,642.571372
8.0,9,643.098213
-2.0,4,643.381384
9.0,9,644.200652
-1.366575,6,644.792618
7.62673,10,645.853616
-3.395341,8,646.454956
8.618513,10,647.228485
-3.0,6,647.676724
5.838081,12,648.215831
0.0,6,648.608334
-4.395397,9,649.017384
6.189711,12,652.070011
-0.675908,6,652.317718
-3.0,6,652.659317
-1.0,6,652.954107
-2.382567,8,653.228892
0.0,5,653.392411
0.0,7,653.657505
-4.304191,6,653.888693
8.62673,10,654.176108
-2.436558,7,654.512183
-4.0,9,654.932911
-2.0,5,655.122035
-2.370348,7,655.200929
6.550375,9,655.61219
-2.815394,6,655.920411
0.0,13,656.392282
-1.0,6,656.659111
-2.527126,11,657.040907
-5.0,8,657.233423
-1.436972,6,657.462579
7.18082,11,658.143363
10.0,10,658.556539
7.550321,10,658.89128
7.681208,9,659.296621
-4.036858,7,659.534747
2.472862,13,659.908359
-4.0,9,660.315274
8.0,8,660.494025
5.457495,13,661.07227
5.231013,13,661.407006
10.0,10,661.880988
8.681208,10,662.155679
8.615844,10,662.512856
-0.373185,7,662.801161
-1.0,6,663.155836
5.547616,13,663.527337
-2.438646,7,663.82251
7.459803,12,664.201617
-2.0,6,664.471672
6.60129,12,664.996183
-2.0,5,665.124918
9.0,9,665.44554
-2.436558,7,665.74508
-3.0,7,665.9702
4.473189,13,666.434178
9.0,9,666.712486
7.549949,11,666.978348
-2.0,6,667.155189
1.643827,13,667.594125
-1.318719,6,667.820886
7.550194,10,667.97167
6.252099,9,668.363099
6.527462,12,668.908976
-1.299552,4,669.110521
-1.0,5,669.223672
6.170466,11,669.606126
0.604547,13,669.941938
-1.527126,11,670.488789
-1.542056,9,670.838398
1.0,6,671.040029
7.62673,10,671.335224
8.0,9,671.807394
-3.0,13,672.378121
10.0,10,672.708004
8.550311,11,673.226709
0.0,13,673.677137
7.300606,10,673.887432
-5.0,1,673.968284
7.552807,10,674.282363
-2.0,9,674.530469
5.470899,13,675.003003
1.0,13,675.732251
7.562943,10,676.064401
-2.373197,6,676.312004
-3.356173,8,676.661834
0.420014,6,676.82089
4.261369,13,677.421225
0.0,6,677.640011
-1.318719,6,677.965826
3.24329,13,678.68769
-1.0,6,678.925846
0.0,6,679.21176
-3.449736,7,679.458864
-4.436631,8,679.787688
8.681208,10,680.130798
0.0,6,680.373409
-1.0,5,680.569049
9.0,9,680.809803
6.615829,11,681.168118
9.0,10,681.703658
-1.372771,6,681.945028
6.867185,12,682.542597
-2.365057,8,682.725157
-3.82572,13,683.557107
3.536659,13,684.13088
9.0,9,684.453493
6.088707,12,685.059005
-1.0,6,685.261167
10.0,10,685.461847
-1.372771,6,685.786148
-1.379585,6,685.958076
-1.318719,6,686.111982
-1.366575,6,686.276909
-2.444964,7,686.512872
0.0,6,686.803011
-2.0,5,687.034332
-2.0,5,687.275748
7.288122,12,687.512765
0.0,13,688.130303
-1.372771,6,688.357119
0.0,6,688.552767
-1.0,6,688.743751
-0.382068,7,689.087437
0.550192,13,689.580558
-1.0,11,690.097327
-1.379585,6,690.363782
-1.0,5,690.512484
9.0,10,690.787161
-2.0,5,690.93886
0.158681,6,691.077681
-2.370348,8,691.353926
0.0,13,692.114082
2.0,13,692.856679
-1.446814,7,693.171645
-2.581182,6,693.368078
-1.372771,6,693.527311
-1.122684,11,694.092875
-3.447459,8,694.319843
-2.365057,5,694.528082
0.0,6,694.751111
2.560696,13,695.065069
-2.0,11,695.91741
-4.304191,13,696.706899
1.0,6,696.852082
1.0,13,697.445252
6.854553,12,697.900509
7.525446,12,698.381765
-4.0,12,698.708509
-1.299552,4,698.837411
-0.381164,7,699.195819
5.552129,11,699.478907
4.457525,13,699.938236
0.0,6,700.255771
6.45979,13,700.81227
1.0,13,701.429695
-1.0,6,701.651375
3.162782,13,702.301349
-0.841249,5,702.453303
5.538897,13,702.7264
6.633121,10,703.221573
8.617423,11,703.594129
-2.436558,6,703.735489
8.459729,13,704.196898
0.0,6,704.433503
0.0,6,704.622423
-1.0,5,704.865861
-2.0,6,705.091775
-5.0,10,705.421084
-1.379585,6,705.625156
9.549885,12,706.045668
7.306361,10,706.319533
-4.0,7,706.70468
9.0,9,707.03908
7.250792,11,707.41337
-3.372844,7,707.709857
-2.0,5,707.855067
-3.395341,11,708.388943
7.457482,13,708.809969
1.643827,13,709.586457
9.0,9,709.896826
7.475491,12,710.358327
-0.437057,8,710.579141
7.46241,13,710.856128
-0.841249,5,710.99134
5.986485,10,711.369487
9.0,9,711.606557
5.112094,13,712.07688
-1.436972,7,712.32313
-2.0,4,712.48129
8.488254,12,712.941866
-1.527137,13,713.622792
1.774622,9,713.956662
-2.365057,5,714.156734
5.0,13,714.74652
-3.0,7,715.136306
2.778928,13,715.766276
-1.0,6,715.992191
7.616072,10,716.422127
-3.386351,9,716.750842
8.0,8,716.996385
-2.39407,10,717.357877
2.0,13,717.978162
8.0,8,718.374029
-2.51166,7,718.645875
1.0,13,719.069371
8.616025,10,719.354016
-1.379585,6,719.498911
-1.0,5,719.663559
4.534666,13,720.072365
6.104759,12,720.452608
-2.318366,8,720.701786
-1.0,5,720.799733
4.873641,12,721.187898
6.473256,13,721.583321
5.536266,13,722.407579
9.0,9,722.731085
0.0,13,723.398529
-3.447459,7,723.5943
-2.0,4,723.783169
-0.366834,6,723.956013
9.0,9,724.321735
-2.312651,8,724.618804
2.0,13,724.991869
7.539083,12,725.256551
8.616025,10,725.622106
-2.712469,8,725.825327
8.681208,10,726.036795
1.563015,13,726.695945
-1.366575,7,726.969853
5.104759,13,727.5199
5.472874,13,727.99732
6.037999,13,728.252478
-5.0,1,728.304888
4.461634,13,728.803922
3.483761,13,729.159559
-5.0,13,729.594644
8.616025,10,729.964046
6.846782,13,732.752971
-2.0,5,732.918477
-2.365057,5,733.114038
10.0,10,733.340907
6.297039,10,733.576182
-1.0,5,733.782315
-2.0,6,734.026654
8.0,9,734.403898
10.0,10,734.66866
1.0,7,734.966128
0.0,6,735.266169
10.0,10,735.431818
7.525552,13,736.016837
8.616025,10,736.409576
9.0,9,736.780488
-1.0,6,737.039627
9.0,9,737.504038
8.562943,11,737.96881
-3.384158,8,738.30689
8.0,10,738.586984
8.0,8,738.829288
6.538975,10,739.252748
-1.0,7,739.45367
8.615645,10,739.700975
7.626732,9,740.123094
