#{"t_start": 1765294067.0021012, "env_id": "merge-v0"}
r,l,t
13.24421,16,68.376761
5.043547,6,68.555714
6.095814,7,68.723649
4.305556,5,68.891524
5.457712,7,69.08231
5.655005,7,69.284697
5.920037,7,69.465379
8.011822,10,69.734546
3.338925,4,69.853944
4.170088,5,70.005192
4.149781,5,70.154168
11.752254,16,70.615247
11.94634,17,71.034392
7.385303,9,71.286438
6.50062,8,71.542098
5.906057,7,71.695541
6.460277,8,71.896924
3.86386,5,72.035907
10.055947,12,72.374288
6.012621,7,72.570623
10.283334,12,72.884216
3.345926,4,73.011634
13.245123,15,73.416807
6.222759,7,73.631752
14.299005,17,74.1125
7.214163,9,74.398515
3.288987,4,74.521816
11.322149,15,74.951909
3.333333,4,75.053688
4.069311,5,75.200711
6.655263,8,75.439139
3.997499,5,75.584078
6.910339,9,75.78547
4.15213,5,75.911809
4.206911,5,76.047758
5.214521,6,76.218383
10.85272,13,76.568573
5.640268,7,76.789442
4.275899,5,76.922185
14.298771,16,77.417447
4.94504,6,77.577744
8.518712,10,77.86665
4.179147,5,77.97551
5.247054,6,78.133458
12.04013,14,78.460965
11.641176,15,78.904347
6.785437,8,79.105562
13.800679,16,79.638706
4.997499,6,79.819481
6.118507,7,79.982864
10.723725,13,80.367429
10.3625,13,80.733701
4.234815,5,80.893166
9.224504,11,81.204511
5.178683,6,81.361471
12.801037,16,81.890538
5.163721,6,82.042547
5.123512,6,82.220505
13.039498,14,82.564414
6.266741,7,82.78135
11.806175,14,83.190131
6.188963,7,83.394549
12.160552,15,83.77503
10.162151,12,84.041972
12.130382,15,84.390709
6.98939,8,84.582874
11.663653,16,85.072049
5.872018,7,85.278433
7.912948,9,85.489841
4.303676,5,85.623152
7.76384,9,85.88117
6.066765,7,86.084989
3.394444,4,86.204043
8.884998,12,86.528903
4.886098,6,86.67677
8.448026,11,86.964531
4.084145,5,87.09111
12.521938,15,87.515435
11.446788,15,87.954754
13.043288,17,88.50418
6.754443,8,88.72748
5.588029,7,88.924741
7.836596,9,89.09097
13.614007,16,89.564458
8.451045,10,89.835398
4.283333,5,89.958553
5.95442,7,90.163181
7.564015,9,90.413967
12.483729,14,90.824003
6.084889,7,91.036391
3.394444,4,91.155874
5.298855,6,91.314755
8.605181,10,91.520267
6.982993,8,91.73082
4.99349,6,91.921315
11.171876,15,92.304646
6.141834,7,92.500148
4.13701,5,92.633502
5.117875,6,92.768795
5.784811,7,92.948048
7.706922,9,93.161678
12.586276,15,93.566527
13.743501,16,94.081393
5.520648,7,94.267061
5.833871,7,94.416496
12.318002,15,94.812558
5.169611,6,94.992573
10.740307,14,95.418124
5.118424,6,95.569613
6.818938,8,95.742763
3.130339,4,95.825636
10.529041,12,96.161206
13.105956,14,96.53147
5.621787,7,96.766168
11.378217,15,97.174059
8.187791,10,97.471835
7.505256,9,97.735479
11.611377,15,98.13516
5.911562,7,98.340905
8.174361,10,98.652792
4.951209,6,98.821422
12.6389,14,99.274305
12.705897,14,99.667766
11.003323,14,100.047988
6.255556,7,100.214222
4.173295,5,100.355303
12.032739,16,100.765946
8.845235,10,101.039518
9.141308,11,101.346317
12.540538,14,101.659461
8.438384,10,101.882833
8.088145,9,102.095756
3.416667,4,102.207004
3.394444,4,102.338105
7.201841,8,102.530455
13.245066,15,102.827324
5.318964,6,102.94782
12.550679,14,103.342642
7.194475,8,103.541031
6.914165,8,103.754119
13.225524,17,104.180687
7.415689,9,104.431248
10.944296,13,104.771623
3.844774,5,104.905169
12.578456,14,105.274063
6.01248,7,105.423114
6.386851,8,105.609808
5.025202,6,105.773901
13.042171,15,106.180888
10.363585,12,106.517076
5.861168,7,106.720614
3.974971,5,106.837469
14.217003,16,107.211138
4.922638,6,107.3694
4.164103,5,107.463716
12.34445,14,107.835429
5.858608,7,107.983128
6.03406,7,108.139918
7.291635,8,108.318808
4.12688,5,108.456383
7.719276,9,108.697715
3.910835,5,108.860426
5.828148,7,109.051714
12.612107,15,109.4235
9.923258,12,109.757166
11.446788,15,110.172947
5.612011,7,110.369464
4.988394,6,110.499712
11.528165,15,110.926233
7.150052,8,111.11299
4.222191,5,111.263547
12.410829,15,111.670837
10.556867,14,111.994497
13.207842,15,112.413042
13.763407,16,112.877814
5.620693,7,113.082673
4.984703,6,113.221347
4.975167,6,113.38572
6.467221,8,113.603099
11.689926,14,113.945669
6.15375,7,114.15111
4.416667,5,114.266286
5.32657,6,114.378852
7.068036,8,114.546538
12.539891,15,114.990458
6.545576,8,115.211469
11.790543,14,115.553667
7.004686,9,115.80372
8.071318,9,116.024373
5.003588,6,116.213155
7.169109,8,116.431708
8.523024,10,116.727841
10.334375,12,117.026309
7.814635,9,117.315858
12.034649,16,117.813989
13.800679,15,118.225577
12.457517,14,118.609528
4.148567,5,123.295338
4.821727,6,123.451773
14.361178,16,123.889534
14.884012,17,124.433768
6.529147,8,124.684847
7.516152,9,124.92903
14.262523,17,125.45202
6.303611,8,125.618623
13.050402,15,125.967029
6.8085,8,126.168331
6.862163,8,126.402811
6.786624,8,126.603626
11.524764,16,126.990593
8.767156,11,127.250566
3.960662,5,127.388567
11.856197,16,127.827298
13.565051,15,128.234664
12.956891,16,128.624094
12.39899,15,129.032797
11.634371,14,129.494143
12.356234,14,129.883084
6.791936,8,130.076087
7.150098,8,130.273797
3.969108,5,130.393365
3.179259,4,130.509467
9.377465,11,130.825247
11.552541,16,131.249352
12.519993,15,131.679998
7.828447,9,131.912454
8.128232,10,132.135341
5.167204,6,132.307878
7.264612,8,132.524425
11.966385,15,132.930746
12.031654,16,133.369275
3.930526,5,133.509988
4.123578,5,133.650381
4.941494,6,133.80381
11.19471,15,134.216888
4.003427,5,134.347172
8.68763,10,134.599885
13.984007,15,135.021071
4.141834,5,135.16031
6.754737,8,135.372027
9.37471,11,135.673398
8.606613,10,135.961802
3.923431,5,136.109213
7.551041,9,136.37308
11.1595,13,136.714673
7.292032,9,136.925582
14.300679,17,137.430227
9.390686,12,137.764695
12.624123,17,138.26782
11.964774,15,138.718294
13.919609,17,139.142216
8.660278,10,139.384048
11.971925,16,139.734013
6.372082,8,139.963643
10.742207,14,140.323877
10.376561,14,140.674145
13.23373,15,140.988261
12.882774,16,141.413738
8.798363,11,141.721104
14.3284,16,142.170326
11.083599,15,142.650394
6.108172,7,142.831388
13.634012,16,143.178585
8.57703,10,143.372322
4.342827,5,143.493778
6.330812,8,143.704312
7.777157,9,143.977121
5.099102,6,144.115398
5.857396,7,144.28902
13.10722,16,144.655662
4.037076,5,144.783756
5.86552,7,145.017652
8.591139,10,145.295329
13.38239,15,145.709249
5.072608,6,145.836091
10.422259,12,146.169697
5.694848,7,146.325198
10.410762,12,146.63359
10.127733,12,147.00628
12.895928,15,147.391578
11.157825,12,147.735287
13.022901,15,148.113926
5.159902,6,148.292503
8.41382,11,148.610655
9.881553,12,148.943689
6.855742,8,149.134503
4.876845,6,149.29133
4.874852,6,149.448578
12.138592,16,149.89476
12.272624,14,150.2632
9.460177,11,150.513206
5.095814,6,150.668523
11.496986,16,151.154663
13.606234,16,151.631724
11.805258,16,152.089526
11.348863,13,152.436071
14.272901,17,152.941287
12.91179,15,153.338208
12.194147,16,153.737112
8.867015,11,154.040977
6.642588,8,154.261089
11.278044,15,154.677848
12.66772,15,155.100844
14.022901,16,155.536033
10.966642,13,155.873616
14.002943,17,156.341116
8.549645,10,156.594327
4.599325,6,156.777335
13.634012,15,157.206325
11.496986,16,157.631173
6.981856,9,157.914612
6.123592,7,158.103995
7.235851,9,158.342317
10.039752,12,158.6227
4.123632,5,158.744279
12.383676,14,159.124691
13.722289,15,159.593003
5.992114,8,159.815714
11.230042,12,160.162798
8.579032,11,160.469123
4.197389,5,160.607476
6.646039,8,160.85115
11.778044,15,161.201421
12.967346,15,161.628702
13.206229,15,161.999633
13.788953,15,162.41332
4.124971,5,162.518175
11.830319,16,162.988753
14.402296,17,163.476915
7.301038,9,163.707936
13.995123,16,164.173716
12.424878,15,164.545297
5.930526,7,164.749579
11.913653,16,165.213439
11.756759,14,165.556362
13.160168,15,165.937609
7.650284,9,166.193555
7.392025,9,166.427763
6.090093,7,166.620864
13.763407,16,167.09704
10.203034,13,167.436515
13.513073,15,167.784345
6.738021,8,168.023613
13.856234,16,168.420661
6.363331,8,168.625813
11.379784,15,169.010514
8.108937,10,169.25971
14.011508,16,169.765204
7.716855,9,169.971689
7.201841,8,170.154038
5.790258,7,170.365359
14.550671,16,170.863833
9.887501,13,171.218763
14.161743,16,171.696251
9.204268,12,171.957545
13.705944,16,172.407273
13.16179,15,172.80156
14.048538,17,173.305688
4.210213,5,173.442492
10.488058,13,173.842326
5.05261,6,174.02253
13.568963,15,174.402512
8.494074,10,174.678273
6.551958,8,174.887874
13.190554,16,175.337252
8.7612,10,175.615109
12.133616,17,176.141459
