#{"t_start": 1765327240.6666498, "env_id": "None"}
r,l,t
20.200006,28,410.460452
9.705,12,413.070462
3.2636874,5,415.206198
18.877268,26,416.521068
5.6870313,7,418.269041
19.303556,25,419.162523
17.419466,24,426.970153
12.646148,18,426.970461
31.264719,40,427.849223
1.951099,3,428.266314
1.7534975,3,429.510954
4.7032604,6,430.357324
7.245813,10,431.21212
2.2894518,4,432.913405
3.486831,5,435.031209
33.297382,40,435.487009
1.775052,3,436.801461
4.5699267,6,437.668358
15.748743,20,438.125664
14.783016,20,438.988587
3.2667804,5,438.988842
1.8844323,3,440.244574
7.839725,11,442.355942
15.121693,17,445.351975
10.304792,14,446.261617
18.281155,21,448.095172
4.8651676,7,449.38443
8.636432,11,450.232395
15.416994,19,450.664745
1.6411968,3,450.665012
10.255398,13,453.666411
1.8216594,3,454.967412
10.643699,13,456.238248
11.643294,17,457.930594
8.620186,10,459.220965
4.5971327,7,460.992388
8.16695,11,460.992663
4.524502,6,461.829595
31.455841,40,467.312336
11.710398,16,467.74416
13.8456,19,469.068362
4.6154914,6,469.943201
4.568713,6,470.394881
2.094536,3,471.279363
4.2817016,6,471.738034
22.376867,30,474.735743
6.6414566,10,474.73605
6.819244,9,475.574988
5.0406594,7,477.653322
7.202343,10,478.93568
5.556141,7,480.670652
8.820811,13,481.094705
3.0158663,4,482.389776
5.753273,8,482.39009
19.845098,27,482.838017
3.3757198,5,483.26602
2.5362475,4,484.67261
3.2269223,5,485.513336
14.504232,19,490.577553
15.009096,20,491.021353
11.5744295,15,491.021632
12.32856,17,492.692548
4.3933825,6,493.517975
3.8214169,6,495.243155
8.68359,11,495.243436
8.351188,12,496.131134
1.7979419,3,497.46771
3.572656,5,497.468459
4.552255,7,498.308601
13.971682,19,501.731624
6.352464,9,502.175317
9.505178,12,502.622235
8.174499,11,506.913501
11.199592,14,508.61822
3.731314,5,509.097683
7.420232,11,513.338962
8.568724,12,514.190203
23.9901,30,514.624954
27.929882,40,514.625248
6.30842,8,517.595485
5.7497473,8,518.011601
12.5673065,14,519.296884
9.084672,13,520.18693
6.7264357,8,522.767482
9.304634,13,523.200686
2.7540567,4,524.445864
1.7745303,3,524.446127
5.265715,7,527.404867
13.369843,18,527.835782
3.330912,5,529.554525
7.7239776,10,532.123298
19.302704,23,534.446811
3.307331,5,534.44702
33.54983,40,535.320064
10.466637,13,535.320356
2.8384926,4,537.006441
6.218848,8,540.415422
11.704901,15,541.688657
15.443745,18,542.103801
7.7026854,9,545.558389
8.997015,12,545.558703
26.169636,35,549.498393
16.639734,23,551.996883
12.325241,17,552.834083
7.2044573,11,554.086714
1.9066546,3,554.087029
8.301905,10,556.169614
3.3090491,5,558.371027
2.7706027,4,560.073142
11.815272,14,560.073502
13.502678,18,561.771621
32.4676,40,562.631128
1.0874302,2,562.631406
5.3943863,7,563.102498
7.0873885,9,566.976013
7.970448,10,566.976289
11.634906,14,568.705168
3.1384554,5,569.176686
1.0216594,2,570.012446
4.6032114,7,571.76981
8.711,11,571.770058
21.866247,29,572.633868
16.529295,19,578.150471
13.099399,16,578.570331
1.9943119,3,579.856345
6.6876063,9,582.008427
21.855492,26,582.907006
1.8868308,3,584.20783
8.322188,10,584.208111
25.075237,33,586.798676
1.888326,3,588.101979
17.50465,23,591.953121
6.929751,9,591.953397
2.9090495,4,593.725563
18.555695,24,594.655606
19.81389,26,595.543903
2.532392,4,596.427219
9.971484,12,599.067472
14.372562,17,599.494093
6.8368816,8,602.904611
22.706268,25,610.036383
13.659675,17,610.485801
30.764307,40,613.010545
30.036886,38,613.010794
5.4924927,8,613.424156
2.794878,4,614.647546
4.730783,6,615.926879
6.708493,9,616.787413
1.951099,3,618.131262
6.335264,8,619.433438
4.7068157,6,622.04237
21.579357,32,624.237606
3.815863,5,626.422221
26.873302,31,628.146102
2.8158627,4,628.146374
22.123344,30,635.066815
30.365862,40,635.498758
15.548403,18,635.923721
2.6444445,4,637.230344
7.8614354,11,639.763643
7.5908403,9,641.067605
25.591465,36,643.65041
15.800562,20,644.538462
2.427175,4,645.413811
1.8000001,3,645.837342
5.2368727,7,648.356437
5.4614115,7,648.834037
5.1384325,7,651.426593
6.0565176,8,652.2662
24.477247,29,652.266487
3.7124298,5,653.575513
2.8621075,4,654.011585
7.931156,11,657.026502
5.060685,7,657.026799
0.9772149,2,657.879133
30.406193,40,658.313616
12.107795,18,661.222176
0.9795497,2,662.072339
8.746753,12,662.949945
2.016534,3,663.383747
16.658379,19,666.350529
5.795223,8,666.785028
21.63636,26,668.105012
3.2636876,5,669.014099
4.7772665,6,669.014387
4.0194864,6,671.535325
8.280905,10,672.375083
9.572759,12,674.075005
21.12553,28,674.925434
8.167506,10,676.605319
6.693984,8,678.365062
16.880064,20,682.737306
3.111674,5,684.853083
13.282112,18,686.168717
29.907059,40,688.760456
23.374666,28,688.760723
2.6607149,4,690.514777
7.6616406,11,690.938524
2.5757198,4,692.23638
1.1345469,2,693.103052
10.169555,14,694.801402
7.239811,10,695.245553
23.271406,27,696.502707
7.661385,11,697.796705
4.5920353,6,697.796985
2.906552,4,698.225386
1.7078635,3,699.061314
3.0158627,4,699.483238
2.2927825,4,699.907695
9.574221,13,700.347488
2.6652656,4,701.188798
2.5985012,4,701.613912
3.8247101,6,702.842752
15.286217,20,707.585541
11.195931,15,707.58582
14.329616,18,709.269369
15.510513,19,710.967752
1.069811,2,711.816411
5.372385,7,712.244364
10.289783,13,713.065754
4.564451,6,714.362511
6.5915556,9,717.039878
4.690223,7,717.471316
1.8646086,3,718.362686
2.9936404,4,719.236673
12.614085,17,719.685688
21.030428,28,719.685941
3.065471,4,720.130166
2.8678803,4,721.83501
4.0626755,6,722.267974
5.7904305,8,723.128653
1.7769578,3,723.547202
1.7777778,3,724.832525
10.969892,14,727.77691
2.6666665,4,729.584061
22.411758,28,731.37562
2.4429572,4,731.37593
13.777994,20,731.797191
14.176391,18,732.636026
3.61642,5,733.479969
11.755647,17,738.511076
1.0433416,2,739.356392
1.888326,3,740.612703
21.144981,24,741.941617
6.43703,8,744.058767
4.8177757,7,744.904465
1.7985013,3,745.369673
2.0955162,3,746.265434
3.2846828,5,748.461143
33.018414,40,749.778854
29.311478,40,750.654152
12.797782,16,755.41672
12.48801,16,756.664104
4.0442944,6,757.98137
6.4634247,9,760.63798
30.652683,40,762.791145
8.0816345,12,765.812528
6.5941606,9,766.742628
1.2387564,2,766.742912
16.901915,22,767.636383
32.52516,40,768.114666
2.4429572,4,769.425835
5.214158,7,769.860842
5.1540313,7,769.861095
1.6429455,3,771.149069
13.090821,16,775.076673
10.639213,14,775.538983
11.48229,14,781.250122
22.015982,29,783.828397
25.32859,33,784.266652
5.977499,8,787.291413
23.89921,29,788.151184
10.310423,13,789.988353
6.1955156,9,791.347622
18.123516,24,791.785832
4.0611124,6,792.631501
6.7707148,8,795.164506
20.496843,23,798.134083
13.876158,17,798.57719
5.133239,8,801.627416
6.016964,7,804.786832
17.303898,22,804.787454
29.35474,40,809.859198
10.148134,14,810.728181
6.8224382,9,814.56138
31.803144,39,815.452797
10.306654,13,815.453033
20.676538,26,815.900613
3.087257,4,816.341676
6.216149,8,819.286461
7.3795466,10,819.713594
12.659108,16,826.629387
13.4614315,19,827.504119
22.49697,30,828.387583
4.949066,6,830.050575
9.35358,13,832.160575
29.541103,40,833.413709
8.375728,11,834.735362
9.32763,12,838.477568
19.596594,25,838.902084
19.973326,27,846.114394
18.501036,21,847.781742
19.014236,25,849.042855
29.083668,40,849.043115
6.9743557,10,850.307856
4.639209,6,851.582092
9.750488,14,856.25966
16.945562,23,857.552865
12.213537,16,858.37587
4.2475066,7,859.205892
19.92785,27,860.442143
6.999038,9,862.199978
9.126,11,863.988671
13.3468685,17,864.842401
2.0399878,3,865.258373
12.031812,15,866.971829
12.767587,15,868.642925
3.0918412,5,869.065483
8.6394005,12,869.923794
9.307761,12,870.376466
3.021704,4,870.814255
4.793694,7,871.639343
9.145405,11,874.625643
9.791884,12,875.534756
11.290538,14,876.859064
10.812038,13,877.286913
2.5296295,4,878.612905
5.0900183,8,879.060895
6.403146,8,880.825165
7.1573806,9,882.560931
19.237003,24,885.165359
4.7268605,6,885.165659
2.599039,4,886.873548
14.098079,18,888.584127
17.581163,23,889.033822
5.7936754,8,909.030389
8.462545,12,911.1297
23.556273,29,916.252205
11.326636,15,917.54407
5.039209,6,918.896845
30.035347,39,918.897118
27.4111,36,924.482989
10.741511,14,924.925898
17.080893,22,927.118413
4.505718,6,927.119181
1.8832009,3,928.447782
15.114794,22,928.448447
15.412157,20,933.620567
11.728224,15,934.962353
6.6073403,8,937.133378
3.397239,5,937.133656
16.338028,25,938.039659
20.703157,28,940.618991
7.803202,9,941.035259
6.6628604,9,941.035564
0.87259597,2,941.891937
2.4429572,4,942.31663
4.8829565,6,943.581719
4.5344315,7,944.821671
7.7892914,9,946.076147
7.774106,10,947.783823
2.9822345,5,949.902428
