#{"t_start": 1765400232.2934375, "env_id": "None"}
r,l,t
9.333333,27,121.050418
11.666664,24,121.445245
8.000001,19,121.714467
7.333334,19,121.973182
3.0,6,122.049567
23.000004,60,122.868747
23.000006,60,124.1581
0.33333334,2,124.192221
12.666665,29,124.596173
23.66667,54,125.294303
5.6666665,14,125.510596
23.666672,50,126.180797
30.000006,59,126.976077
16.333326,44,127.561216
37.66667,84,128.693242
12.999998,34,129.180759
13.666663,30,129.567286
3.6666665,8,129.672492
15.333331,37,130.184118
18.33333,48,130.846985
9.999999,23,131.156528
18.0,45,131.758166
37.33333,83,132.801286
4.333333,10,132.935856
24.666672,57,133.740253
11.666664,28,134.118143
34.000015,83,135.251642
4.666666,11,135.422866
59.99993,135,137.286775
6.6666675,19,137.566654
7.333334,17,137.810181
1.0,2,137.8435
10.666665,21,138.096205
0.33333334,2,138.133032
20.666666,59,138.887282
1.3333334,5,138.961957
23.00001,56,139.730349
29.66668,60,140.47598
16.666662,43,141.056175
16.999994,40,141.616606
32.66668,85,142.722289
29.000017,74,143.73351
12.999997,36,144.219915
31.666685,78,145.250073
9.333333,25,145.59043
27.666676,68,146.543594
5.3333335,13,146.707145
12.333331,26,147.056202
18.33333,48,147.733265
12.666664,33,156.06143
9.999999,23,156.378088
7.0,18,156.612602
38.33334,84,157.745394
24.666676,57,158.533303
4.6666665,11,158.691497
19.66667,42,159.733098
14.33333,38,160.250767
33.333355,79,161.385274
21.000004,48,162.053115
19.0,44,162.655064
0.33333334,2,162.684318
6.0000005,17,162.936482
2.6666665,9,163.055264
17.666662,48,163.689435
12.666664,35,164.183949
12.666664,31,164.627769
11.999999,25,164.977162
15.999996,41,165.542312
4.333333,10,165.711161
19.999996,49,166.338779
44.333317,96,167.633051
3.6666665,8,167.758037
10.999999,22,168.062016
35.000004,72,169.081505
5.6666665,14,169.269036
7.3333335,13,169.457854
8.333335,18,169.70463
25.666674,60,170.513392
26.000013,61,171.294332
9.999998,21,171.580578
21.333338,55,172.254981
12.999999,28,172.664047
11.333331,27,173.01344
4.333333,12,173.164068
12.666665,31,173.570568
6.666667,17,173.799478
8.333334,18,174.043637
11.999999,29,174.444776
36.000004,87,175.643494
45.333313,97,176.865303
20.0,47,177.501316
8.666667,25,177.837799
13.333331,33,178.282735
18.999998,44,178.892744
27.666676,62,179.735074
6.666667,15,179.942452
8.000001,23,180.261528
71.99998,160,182.406965
24.333342,52,183.125915
3.6666665,8,183.240255
6.0,11,183.393863
43.999992,97,184.687038
4.333333,12,184.85787
33.666676,84,186.003966
28.666668,69,186.96475
8.333333,18,187.206901
11.666665,28,188.069427
22.666666,47,188.683459
20.666666,43,189.25625
30.333347,60,189.921336
16.666662,35,190.401949
12.999999,28,190.81108
34.66668,93,192.049791
9.666665,24,192.367237
36.000008,73,193.37327
32.666683,77,194.425779
21.0,54,195.200394
25.666672,60,195.959778
6.6666675,19,196.231513
9.333334,23,196.528299
6.333334,18,196.770747
36.33334,88,197.970299
54.333294,122,199.505368
27.33334,65,200.41669
43.33332,93,201.693893
13.333331,35,202.158082
22.666672,53,202.882324
9.000001,20,203.184209
22.333338,54,203.908273
6.0,15,204.104106
2.6666665,7,204.216175
30.333345,58,204.983025
26.666672,67,205.896103
9.333334,25,206.246068
11.333331,33,206.698948
23.000002,50,207.326406
27.333345,69,208.294323
1.3333334,3,208.337574
29.000011,70,209.332809
11.666664,28,209.718707
24.66667,63,210.545895
13.666664,30,210.944246
19.666666,40,211.475099
22.666668,49,212.136631
0.33333334,2,212.169637
7.333333,15,212.421013
17.999996,45,212.996216
30.333344,60,213.778426
23.66667,62,214.587624
23.000002,52,215.2668
21.000002,48,216.41872
26.33334,68,217.387882
21.666672,50,218.104347
44.999996,90,219.305334
1.6666667,6,219.38228
42.333332,94,220.659182
23.000004,48,221.314267
2.0,5,221.389875
3.6666665,8,221.515037
9.333332,23,221.819571
20.333338,44,222.437241
15.666662,36,222.943121
8.000001,19,223.203348
8.666668,23,223.527021
19.666666,58,224.309955
10.333333,22,224.594005
12.666664,35,235.574268
12.666666,27,235.935363
6.666667,17,236.15907
46.333332,94,237.587694
0.6666667,3,237.643756
9.000001,24,238.039044
1.0,4,238.131236
9.999999,23,238.456499
27.00001,54,239.313157
6.333333,14,239.546419
21.333336,43,240.375966
67.99996,160,242.9937
3.0,6,243.085072
6.333334,18,243.325962
24.666674,59,244.285416
9.666667,24,244.744537
31.666681,70,245.854894
6.3333335,16,246.10126
25.66667,48,246.874528
19.666666,40,247.545909
35.999996,75,248.891762
11.333332,23,249.300819
1.6666667,4,249.388157
19.66667,42,250.105649
8.000001,19,250.435361
8.333334,24,250.852121
5.3333335,15,251.071265
34.00001,81,252.51059
35.333332,81,253.956322
4.9999995,12,254.180789
33.000008,66,255.267425
42.666656,99,256.90617
20.000002,51,257.805288
20.666664,53,259.175836
18.666664,45,259.92895
40.000008,85,261.352801
7.6666675,20,261.686454
24.666672,59,262.610533
64.66661,160,265.231549
3.3333333,7,265.377807
35.666676,70,266.536837
26.333344,56,267.414996
19.33333,51,268.209051
32.66668,69,269.321965
26.666676,71,270.501343
52.666645,115,272.502803
12.999998,28,273.064123
60.99994,150,275.357577
8.333334,22,275.76317
27.000011,58,276.655784
17.33333,39,277.232971
37.999996,73,278.362393
23.000006,54,279.20882
54.999958,114,280.949437
9.0,26,281.448436
18.999998,50,282.305391
31.000013,72,283.4323
42.000004,79,284.780637
9.999999,25,285.138546
7.0000005,18,285.410297
39.333336,83,286.80448
20.000002,47,287.523707
29.66668,64,288.389153
13.666663,28,288.770414
24.000006,63,289.625572
25.666677,56,290.370602
5.333333,13,290.532204
22.000004,45,291.13969
28.333344,72,292.630572
30.333344,76,293.690286
5.6666665,14,293.875746
38.666653,93,295.130441
14.666665,25,295.484916
24.333344,68,296.427012
7.3333335,13,296.613821
25.33334,47,297.199132
50.333317,100,298.427239
50.99997,118,300.033492
33.00001,62,300.879045
29.66668,78,301.909897
33.33335,81,303.000887
17.33333,37,303.486357
25.666674,62,304.356116
20.666666,49,305.02196
75.33333,149,307.072535
46.666653,87,308.171261
46.999977,88,309.313044
3.333333,11,309.472501
2.3333333,8,309.58327
22.333332,44,310.146205
3.333333,9,310.270888
49.666645,110,311.736418
20.333334,44,312.346264
4.6666665,11,312.489182
18.0,39,325.535512
26.000006,63,326.390908
6.0,15,326.621333
18.333332,34,327.109678
6.666667,17,327.345028
11.333333,23,327.635603
37.0,70,328.511499
27.666677,62,329.331864
11.333332,27,329.703475
15.666664,30,330.1283
14.999995,38,330.67627
41.33332,87,331.862077
26.666676,67,333.278705
46.666634,93,334.561274
35.666676,84,335.693205
41.99999,79,336.733993
4.333333,8,336.867024
41.66666,104,338.332083
13.666664,32,338.790661
51.999954,111,340.296121
35.999996,75,341.317785
15.999994,39,341.859433
9.999999,19,342.136428
9.333333,27,342.492036
15.666662,38,343.052066
36.0,71,344.036294
18.333332,36,344.537911
