#{"t_start": 1765311010.4041247, "env_id": "None"}
r,l,t
41.814724,50,326.272551
22.329021,27,327.357313
36.767952,46,330.898669
6.4240265,8,332.604438
21.860006,26,332.839622
29.119316,39,333.503623
28.92669,35,333.71251
11.929914,15,335.994544
13.38523,15,336.814308
13.951207,19,337.458887
2.9145555,4,338.314532
10.391907,12,339.403995
38.99728,42,341.439303
18.959543,26,343.66937
41.617283,54,347.243334
19.588081,26,349.141131
36.156788,49,349.579206
9.118164,11,349.579494
6.652752,9,351.02921
44.618088,55,352.877559
13.428526,17,354.564516
22.569605,26,355.02633
10.477141,13,355.685199
32.87059,37,357.507994
16.40229,22,359.738101
15.434993,20,359.951059
7.184801,9,361.862276
5.387246,7,363.301939
34.37336,41,366.065339
18.299816,24,368.398289
55.196205,69,369.21242
28.172384,35,373.242572
26.200758,32,375.033756
3.429794,5,376.070321
61.48769,80,376.477703
31.394861,43,378.151715
12.114247,16,379.767817
30.320784,38,381.179807
6.5211673,8,381.387215
27.288002,37,383.715133
12.270538,14,384.159562
25.031431,33,385.012412
21.187164,27,387.137756
3.723942,5,388.281114
8.889489,12,390.761446
28.171072,36,391.844996
11.575661,16,394.108127
3.866806,5,395.204938
47.880527,63,397.090959
21.904247,24,400.268315
3.2022717,4,401.112595
15.171115,20,401.337213
34.308372,46,401.551449
61.997814,80,401.97167
5.2534094,7,402.795418
4.68616,6,404.003159
11.527772,13,404.207427
13.881677,19,407.898649
26.496614,31,408.324491
18.878242,21,408.543132
28.922586,37,408.778558
6.7629437,8,410.452473
10.672594,13,413.196119
19.954475,23,413.196393
21.568357,27,414.224945
5.2374554,7,414.669249
18.193007,22,419.302302
30.481588,35,420.535059
47.511425,60,420.535302
26.882616,35,421.576651
12.058631,15,423.635319
15.49296,20,424.689214
24.154922,30,425.580851
6.784303,10,426.855335
28.77515,39,429.746438
31.514126,39,431.848423
10.147502,13,432.457041
27.060024,31,433.309328
4.7888904,6,434.539464
2.586195,4,529.724674
10.219113,14,532.573698
11.9155,16,535.898471
59.943638,79,536.329244
7.091783,10,538.051479
45.00608,58,538.880673
3.8335836,5,539.87321
14.94065,19,540.294352
5.953984,8,541.543235
5.9094014,7,541.7564
60.37438,80,542.764207
13.09864,19,545.608162
31.942835,40,551.205112
5.359369,7,552.659817
5.5992846,7,554.241047
29.075104,42,554.478709
62.3566,80,554.912563
59.33798,80,558.640659
15.4253845,20,559.075628
50.9748,63,567.593631
47.815617,55,570.187004
11.101364,15,570.593885
3.5316396,5,571.223275
62.603626,80,571.223526
53.24497,62,572.053776
25.973238,33,577.680298
10.636704,14,580.593269
42.14184,50,582.651588
49.871227,61,584.166961
6.902326,9,584.672004
19.953304,26,586.193034
6.4075747,9,586.668808
59.55496,80,588.3049
28.697792,40,594.941569
39.048424,51,596.827161
57.783314,80,601.113639
16.081581,18,604.784577
59.273575,80,604.998529
45.62906,58,607.059298
50.011837,66,610.738016
22.087797,29,611.191784
21.601332,30,611.192055
5.473321,7,612.641418
12.489202,15,613.878827
4.6298065,6,615.097173
19.58545,25,617.739871
31.563038,43,620.060902
27.613356,35,622.504625
9.471898,12,622.743309
60.04811,80,624.055728
6.01437,8,624.270085
11.80456,14,627.109737
2.9173367,4,627.969399
4.1952057,6,629.264568
49.24927,60,630.503029
4.7756805,6,631.759904
27.706734,38,631.967259
4.4798965,6,632.980244
8.359828,10,635.081149
47.35325,64,636.128192
7.1674843,10,638.165565
13.828306,20,639.226102
43.874817,57,641.061371
10.291806,15,641.271269
7.9421186,11,643.704229
15.750047,21,643.704497
5.708646,8,645.46212
5.8846254,9,645.678833
22.045603,28,647.212587
59.562183,80,648.891117
9.35137,11,649.528125
18.470415,22,650.155409
4.636039,6,650.777188
4.2675533,6,651.399991
10.02467,12,653.247975
14.506171,18,655.0596
29.831923,34,655.871727
16.705698,20,657.303811
8.359401,11,657.304189
16.496311,22,662.016106
61.52293,80,662.428968
22.738997,31,663.866614
25.842196,31,668.918202
52.725826,69,670.386707
31.734125,40,670.386943
31.511328,43,673.048864
11.102783,14,673.504282
7.8311677,11,675.891664
22.861885,30,676.914618
33.884567,46,678.84678
5.348193,7,680.368039
30.074871,36,688.066191
4.455245,6,689.429629
61.143173,77,689.639148
47.821953,66,690.054151
4.323845,6,690.685353
50.576096,66,691.128626
9.538756,13,692.414215
5.341414,8,692.820871
9.396255,13,693.434044
11.347985,17,693.639679
3.6513183,5,694.456781
8.623297,12,695.265291
9.146332,11,695.876013
